unique_housing_id,hid,geo,unique_id_in_geo,sample_geo,hhtotals,hinc,hsize,hhrtotals,rhinc,rhsize,entity,gqrtotals,gqtotals
38,1002779,4013010101,39,101,1.0,4.0,5.0,1.0,4.0,5.0,household,0.0,0.0
39,1002874,4013010101,40,204,1.0,4.0,2.0,1.0,4.0,2.0,household,0.0,0.0
40,1002935,4013010101,41,104,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
41,1003126,4013010101,42,115,1.0,3.0,2.0,1.0,3.0,2.0,household,0.0,0.0
42,1003138,4013010101,43,114,1.0,2.0,1.0,1.0,2.0,1.0,household,0.0,0.0
43,1003139,4013010101,44,204,1.0,1.0,1.0,1.0,1.0,1.0,household,0.0,0.0
44,1003304,4013010101,45,120,1.0,4.0,2.0,1.0,4.0,2.0,household,0.0,0.0
45,1003373,4013010101,46,121,1.0,3.0,2.0,1.0,3.0,2.0,household,0.0,0.0
46,1003445,4013010101,47,115,1.0,3.0,2.0,1.0,3.0,2.0,household,0.0,0.0
47,1003481,4013010101,48,805,1.0,3.0,2.0,1.0,3.0,2.0,household,0.0,0.0
48,1003695,4013010101,49,700,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
49,1003708,4013010101,50,125,1.0,3.0,4.0,1.0,3.0,4.0,household,0.0,0.0
50,1003718,4013010101,51,900,1.0,3.0,2.0,1.0,3.0,2.0,household,0.0,0.0
51,1003746,4013010101,52,700,1.0,3.0,1.0,1.0,3.0,1.0,household,0.0,0.0
52,1003918,4013010101,53,803,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
53,1003961,4013010101,54,101,1.0,3.0,2.0,1.0,3.0,2.0,household,0.0,0.0
54,1004001,4013010101,55,134,1.0,4.0,4.0,1.0,4.0,4.0,household,0.0,0.0
55,1004012,4013010101,56,130,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
56,1004201,4013010101,57,128,1.0,5.0,4.0,1.0,5.0,4.0,household,0.0,0.0
57,1004308,4013010101,58,104,1.0,3.0,3.0,1.0,3.0,3.0,household,0.0,0.0
58,1004310,4013010101,59,112,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
59,1004342,4013010101,60,126,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
60,1004530,4013010101,61,106,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
61,1004554,4013010101,62,600,1.0,2.0,1.0,1.0,2.0,1.0,household,0.0,0.0
62,1004641,4013010101,63,803,1.0,3.0,2.0,1.0,3.0,2.0,household,0.0,0.0
63,1004654,4013010101,64,102,1.0,4.0,2.0,1.0,4.0,2.0,household,0.0,0.0
64,1004708,4013010101,65,400,1.0,3.0,1.0,1.0,3.0,1.0,household,0.0,0.0
65,1004886,4013010101,66,103,1.0,2.0,1.0,1.0,2.0,1.0,household,0.0,0.0
66,1005038,4013010101,67,116,1.0,4.0,1.0,1.0,4.0,1.0,household,0.0,0.0
67,1005038,4013010101,68,116,1.0,4.0,1.0,1.0,4.0,1.0,household,0.0,0.0
68,1005132,4013010101,69,204,1.0,2.0,2.0,1.0,2.0,2.0,household,0.0,0.0
69,1005144,4013010101,70,129,1.0,3.0,2.0,1.0,3.0,2.0,household,0.0,0.0
70,1005221,4013010101,71,102,1.0,4.0,2.0,1.0,4.0,2.0,household,0.0,0.0
71,1005282,4013010101,72,201,1.0,3.0,1.0,1.0,3.0,1.0,household,0.0,0.0
72,1005293,4013010101,73,600,1.0,3.0,2.0,1.0,3.0,2.0,household,0.0,0.0
73,1005330,4013010101,74,204,1.0,5.0,4.0,1.0,5.0,4.0,household,0.0,0.0
74,1005406,4013010101,75,115,1.0,3.0,2.0,1.0,3.0,2.0,household,0.0,0.0
75,1005424,4013010101,76,131,1.0,3.0,2.0,1.0,3.0,2.0,household,0.0,0.0
76,1005430,4013010101,77,126,1.0,3.0,2.0,1.0,3.0,2.0,household,0.0,0.0
77,1005460,4013010101,78,807,1.0,2.0,2.0,1.0,2.0,2.0,household,0.0,0.0
78,1005500,4013010101,79,134,1.0,5.0,1.0,1.0,5.0,1.0,household,0.0,0.0
79,1005513,4013010101,80,107,1.0,3.0,2.0,1.0,3.0,2.0,household,0.0,0.0
80,1005520,4013010101,81,113,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
81,1005627,4013010101,82,120,1.0,5.0,5.0,1.0,5.0,5.0,household,0.0,0.0
82,1005639,4013010101,83,107,1.0,5.0,4.0,1.0,5.0,4.0,household,0.0,0.0
83,1005659,4013010101,84,600,1.0,2.0,1.0,1.0,2.0,1.0,household,0.0,0.0
84,1005734,4013010101,85,101,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
85,1005762,4013010101,86,500,1.0,3.0,2.0,1.0,3.0,2.0,household,0.0,0.0
86,1005825,4013010101,87,205,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
87,1005831,4013010101,88,101,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
88,1005904,4013010101,89,803,1.0,2.0,2.0,1.0,2.0,2.0,household,0.0,0.0
89,1005989,4013010101,90,107,1.0,5.0,1.0,1.0,5.0,1.0,household,0.0,0.0
90,1005996,4013010101,91,111,1.0,3.0,2.0,1.0,3.0,2.0,household,0.0,0.0
91,1006129,4013010101,92,204,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
92,1006299,4013010101,93,205,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
93,1006351,4013010101,94,105,1.0,2.0,2.0,1.0,2.0,2.0,household,0.0,0.0
94,1006367,4013010101,95,112,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
95,1006414,4013010101,96,101,1.0,3.0,2.0,1.0,3.0,2.0,household,0.0,0.0
96,1006422,4013010101,97,100,1.0,5.0,1.0,1.0,5.0,1.0,household,0.0,0.0
97,1006426,4013010101,98,119,1.0,3.0,2.0,1.0,3.0,2.0,household,0.0,0.0
98,1006503,4013010101,99,108,1.0,3.0,2.0,1.0,3.0,2.0,household,0.0,0.0
99,1006543,4013010101,100,209,1.0,3.0,2.0,1.0,3.0,2.0,household,0.0,0.0
100,1006548,4013010101,101,104,1.0,4.0,3.0,1.0,4.0,3.0,household,0.0,0.0
101,1006550,4013010101,102,108,1.0,4.0,2.0,1.0,4.0,2.0,household,0.0,0.0
102,1006646,4013010101,103,600,1.0,3.0,2.0,1.0,3.0,2.0,household,0.0,0.0
103,1006680,4013010101,104,208,1.0,1.0,1.0,1.0,1.0,1.0,household,0.0,0.0
104,1006681,4013010101,105,105,1.0,5.0,4.0,1.0,5.0,4.0,household,0.0,0.0
105,1006702,4013010101,106,300,1.0,2.0,3.0,1.0,2.0,3.0,household,0.0,0.0
106,1006766,4013010101,107,101,1.0,3.0,5.0,1.0,3.0,5.0,household,0.0,0.0
107,1006781,4013010101,108,102,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
108,1006798,4013010101,109,104,1.0,2.0,2.0,1.0,2.0,2.0,household,0.0,0.0
109,1006927,4013010101,110,107,1.0,5.0,4.0,1.0,5.0,4.0,household,0.0,0.0
110,1007062,4013010101,111,131,1.0,3.0,2.0,1.0,3.0,2.0,household,0.0,0.0
111,1007079,4013010101,112,100,1.0,5.0,3.0,1.0,5.0,3.0,household,0.0,0.0
112,1007102,4013010101,113,208,1.0,2.0,2.0,1.0,2.0,2.0,household,0.0,0.0
113,1007114,4013010101,114,900,1.0,2.0,1.0,1.0,2.0,1.0,household,0.0,0.0
114,1007169,4013010101,115,126,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
115,1007242,4013010101,116,900,1.0,3.0,2.0,1.0,3.0,2.0,household,0.0,0.0
116,1007327,4013010101,117,120,1.0,4.0,2.0,1.0,4.0,2.0,household,0.0,0.0
117,1007330,4013010101,118,803,1.0,4.0,2.0,1.0,4.0,2.0,household,0.0,0.0
118,1007413,4013010101,119,803,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
119,1007429,4013010101,120,104,1.0,3.0,2.0,1.0,3.0,2.0,household,0.0,0.0
120,1007429,4013010101,121,104,1.0,3.0,2.0,1.0,3.0,2.0,household,0.0,0.0
121,1007448,4013010101,122,132,1.0,5.0,5.0,1.0,5.0,5.0,household,0.0,0.0
122,1007784,4013010101,123,127,1.0,3.0,2.0,1.0,3.0,2.0,household,0.0,0.0
123,1007847,4013010101,124,300,1.0,3.0,2.0,1.0,3.0,2.0,household,0.0,0.0
124,1007847,4013010101,125,300,1.0,3.0,2.0,1.0,3.0,2.0,household,0.0,0.0
125,1007927,4013010101,126,206,1.0,1.0,1.0,1.0,1.0,1.0,household,0.0,0.0
126,1007936,4013010101,127,803,1.0,4.0,2.0,1.0,4.0,2.0,household,0.0,0.0
127,1007972,4013010101,128,110,1.0,4.0,2.0,1.0,4.0,2.0,household,0.0,0.0
128,1008063,4013010101,129,130,1.0,3.0,2.0,1.0,3.0,2.0,household,0.0,0.0
129,1008141,4013010101,130,807,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
130,1008170,4013010101,131,111,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
131,1008189,4013010101,132,127,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
132,1008310,4013010101,133,105,1.0,2.0,2.0,1.0,2.0,2.0,household,0.0,0.0
133,1008351,4013010101,134,132,1.0,2.0,2.0,1.0,2.0,2.0,household,0.0,0.0
134,1008386,4013010101,135,400,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
135,1008392,4013010101,136,204,1.0,4.0,2.0,1.0,4.0,2.0,household,0.0,0.0
136,1008410,4013010101,137,202,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
137,1008452,4013010101,138,130,1.0,4.0,2.0,1.0,4.0,2.0,household,0.0,0.0
138,1008463,4013010101,139,126,1.0,5.0,4.0,1.0,5.0,4.0,household,0.0,0.0
139,1008502,4013010101,140,400,1.0,3.0,4.0,1.0,3.0,4.0,household,0.0,0.0
140,1008574,4013010101,141,202,1.0,4.0,2.0,1.0,4.0,2.0,household,0.0,0.0
141,1008598,4013010101,142,102,1.0,5.0,4.0,1.0,5.0,4.0,household,0.0,0.0
142,1008620,4013010101,143,116,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
143,1008835,4013010101,144,127,1.0,4.0,2.0,1.0,4.0,2.0,household,0.0,0.0
144,1008868,4013010101,145,114,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
145,1008954,4013010101,146,206,1.0,2.0,5.0,1.0,2.0,5.0,household,0.0,0.0
146,1008992,4013010101,147,129,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
147,1009033,4013010101,148,207,1.0,2.0,1.0,1.0,2.0,1.0,household,0.0,0.0
148,1009036,4013010101,149,700,1.0,3.0,2.0,1.0,3.0,2.0,household,0.0,0.0
149,1009039,4013010101,150,110,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
150,1009090,4013010101,151,105,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
151,1009165,4013010101,152,206,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
152,1009186,4013010101,153,205,1.0,3.0,2.0,1.0,3.0,2.0,household,0.0,0.0
153,1009343,4013010101,154,209,1.0,3.0,2.0,1.0,3.0,2.0,household,0.0,0.0
154,1009384,4013010101,155,111,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
155,1009451,4013010101,156,102,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
156,1009480,4013010101,157,104,1.0,3.0,2.0,1.0,3.0,2.0,household,0.0,0.0
157,1009630,4013010101,158,128,1.0,5.0,4.0,1.0,5.0,4.0,household,0.0,0.0
158,1009667,4013010101,159,131,1.0,3.0,2.0,1.0,3.0,2.0,household,0.0,0.0
159,1009681,4013010101,160,803,1.0,3.0,2.0,1.0,3.0,2.0,household,0.0,0.0
160,1009691,4013010101,161,117,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
161,1009723,4013010101,162,126,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
162,1009898,4013010101,163,134,1.0,4.0,6.0,1.0,4.0,6.0,household,0.0,0.0
163,1009903,4013010101,164,111,1.0,1.0,5.0,1.0,1.0,5.0,household,0.0,0.0
164,1010175,4013010101,165,104,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
165,1010210,4013010101,166,102,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
166,1010258,4013010101,167,102,1.0,3.0,2.0,1.0,3.0,2.0,household,0.0,0.0
167,1010336,4013010101,168,131,1.0,4.0,2.0,1.0,4.0,2.0,household,0.0,0.0
168,1010460,4013010101,169,126,1.0,3.0,2.0,1.0,3.0,2.0,household,0.0,0.0
169,1010534,4013010101,170,126,1.0,3.0,2.0,1.0,3.0,2.0,household,0.0,0.0
170,1010588,4013010101,171,110,1.0,3.0,3.0,1.0,3.0,3.0,household,0.0,0.0
171,1010646,4013010101,172,700,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
172,1010727,4013010101,173,500,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
173,1010737,4013010101,174,117,1.0,5.0,3.0,1.0,5.0,3.0,household,0.0,0.0
174,1010865,4013010101,175,205,1.0,4.0,2.0,1.0,4.0,2.0,household,0.0,0.0
175,1010880,4013010101,176,114,1.0,3.0,2.0,1.0,3.0,2.0,household,0.0,0.0
176,1010950,4013010101,177,104,1.0,2.0,2.0,1.0,2.0,2.0,household,0.0,0.0
177,1010983,4013010101,178,119,1.0,3.0,4.0,1.0,3.0,4.0,household,0.0,0.0
178,1010997,4013010101,179,600,1.0,5.0,4.0,1.0,5.0,4.0,household,0.0,0.0
179,1011026,4013010101,180,129,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
180,1011073,4013010101,181,105,1.0,4.0,4.0,1.0,4.0,4.0,household,0.0,0.0
181,1011103,4013010101,182,108,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
182,1011504,4013010101,183,132,1.0,1.0,4.0,1.0,1.0,4.0,household,0.0,0.0
183,1011524,4013010101,184,111,1.0,5.0,5.0,1.0,5.0,5.0,household,0.0,0.0
184,1011560,4013010101,185,204,1.0,5.0,4.0,1.0,5.0,4.0,household,0.0,0.0
185,1011561,4013010101,186,108,1.0,4.0,2.0,1.0,4.0,2.0,household,0.0,0.0
186,1011574,4013010101,187,104,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
187,1011620,4013010101,188,800,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
188,1011635,4013010101,189,205,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
189,1011644,4013010101,190,202,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
190,1011662,4013010101,191,113,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
191,1011662,4013010101,192,113,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
192,1011715,4013010101,193,127,1.0,4.0,2.0,1.0,4.0,2.0,household,0.0,0.0
193,1011745,4013010101,194,203,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
194,1011873,4013010101,195,203,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
195,1011909,4013010101,196,400,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
196,1011945,4013010101,197,805,1.0,3.0,2.0,1.0,3.0,2.0,household,0.0,0.0
197,1011997,4013010101,198,700,1.0,3.0,4.0,1.0,3.0,4.0,household,0.0,0.0
198,1012065,4013010101,199,119,1.0,3.0,6.0,1.0,3.0,6.0,household,0.0,0.0
199,1012137,4013010101,200,108,1.0,3.0,1.0,1.0,3.0,1.0,household,0.0,0.0
200,1012198,4013010101,201,600,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
201,1012276,4013010101,202,203,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
202,1012278,4013010101,203,700,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
203,1012279,4013010101,204,107,1.0,5.0,5.0,1.0,5.0,5.0,household,0.0,0.0
204,1012301,4013010101,205,102,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
205,1012573,4013010101,206,205,1.0,5.0,4.0,1.0,5.0,4.0,household,0.0,0.0
206,1012578,4013010101,207,800,1.0,3.0,2.0,1.0,3.0,2.0,household,0.0,0.0
207,1012983,4013010101,208,107,1.0,4.0,2.0,1.0,4.0,2.0,household,0.0,0.0
208,1013070,4013010101,209,600,1.0,2.0,4.0,1.0,2.0,4.0,household,0.0,0.0
209,1013134,4013010101,210,113,1.0,5.0,4.0,1.0,5.0,4.0,household,0.0,0.0
210,1013163,4013010101,211,111,1.0,2.0,1.0,1.0,2.0,1.0,household,0.0,0.0
211,1013258,4013010101,212,131,1.0,3.0,2.0,1.0,3.0,2.0,household,0.0,0.0
212,1013343,4013010101,213,101,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
213,1013372,4013010101,214,104,1.0,3.0,2.0,1.0,3.0,2.0,household,0.0,0.0
214,1013394,4013010101,215,108,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
215,1013394,4013010101,216,108,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
216,1013396,4013010101,217,111,1.0,3.0,2.0,1.0,3.0,2.0,household,0.0,0.0
217,1013426,4013010101,218,126,1.0,5.0,3.0,1.0,5.0,3.0,household,0.0,0.0
218,1013432,4013010101,219,129,1.0,3.0,2.0,1.0,3.0,2.0,household,0.0,0.0
219,1013479,4013010101,220,110,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
220,1013487,4013010101,221,700,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
221,1013489,4013010101,222,101,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
222,1013552,4013010101,223,205,1.0,4.0,2.0,1.0,4.0,2.0,household,0.0,0.0
223,1013594,4013010101,224,132,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
224,1013618,4013010101,225,122,1.0,2.0,1.0,1.0,2.0,1.0,household,0.0,0.0
225,1013639,4013010101,226,134,1.0,3.0,2.0,1.0,3.0,2.0,household,0.0,0.0
226,1013732,4013010101,227,206,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
227,1013791,4013010101,228,205,1.0,3.0,2.0,1.0,3.0,2.0,household,0.0,0.0
228,1013828,4013010101,229,131,1.0,3.0,1.0,1.0,3.0,1.0,household,0.0,0.0
229,1013863,4013010101,230,131,1.0,3.0,2.0,1.0,3.0,2.0,household,0.0,0.0
230,1013916,4013010101,231,300,1.0,3.0,1.0,1.0,3.0,1.0,household,0.0,0.0
231,1013940,4013010101,232,108,1.0,5.0,3.0,1.0,5.0,3.0,household,0.0,0.0
232,1014053,4013010101,233,111,1.0,3.0,2.0,1.0,3.0,2.0,household,0.0,0.0
233,1014100,4013010101,234,600,1.0,3.0,2.0,1.0,3.0,2.0,household,0.0,0.0
234,1014113,4013010101,235,120,1.0,3.0,2.0,1.0,3.0,2.0,household,0.0,0.0
235,1014172,4013010101,236,112,1.0,5.0,4.0,1.0,5.0,4.0,household,0.0,0.0
236,1014187,4013010101,237,203,1.0,2.0,2.0,1.0,2.0,2.0,household,0.0,0.0
237,1014278,4013010101,238,111,1.0,4.0,2.0,1.0,4.0,2.0,household,0.0,0.0
238,1014335,4013010101,239,130,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
239,1014351,4013010101,240,202,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
240,1014352,4013010101,241,400,1.0,5.0,4.0,1.0,5.0,4.0,household,0.0,0.0
241,1014373,4013010101,242,110,1.0,5.0,1.0,1.0,5.0,1.0,household,0.0,0.0
242,1014513,4013010101,243,115,1.0,5.0,3.0,1.0,5.0,3.0,household,0.0,0.0
243,1014553,4013010101,244,129,1.0,2.0,2.0,1.0,2.0,2.0,household,0.0,0.0
244,1014650,4013010101,245,500,1.0,5.0,1.0,1.0,5.0,1.0,household,0.0,0.0
245,1014683,4013010101,246,900,1.0,3.0,2.0,1.0,3.0,2.0,household,0.0,0.0
246,1014868,4013010101,247,300,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
247,1014916,4013010101,248,207,1.0,2.0,5.0,1.0,2.0,5.0,household,0.0,0.0
248,1015043,4013010101,249,117,1.0,4.0,3.0,1.0,4.0,3.0,household,0.0,0.0
249,1015054,4013010101,250,103,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
250,1015061,4013010101,251,115,1.0,3.0,1.0,1.0,3.0,1.0,household,0.0,0.0
251,1015067,4013010101,252,111,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
252,1015134,4013010101,253,102,1.0,1.0,2.0,1.0,1.0,2.0,household,0.0,0.0
253,1015205,4013010101,254,133,1.0,2.0,1.0,1.0,2.0,1.0,household,0.0,0.0
254,1015235,4013010101,255,128,1.0,2.0,2.0,1.0,2.0,2.0,household,0.0,0.0
255,1015266,4013010101,256,133,1.0,5.0,4.0,1.0,5.0,4.0,household,0.0,0.0
256,1015302,4013010101,257,300,1.0,2.0,2.0,1.0,2.0,2.0,household,0.0,0.0
257,1015307,4013010101,258,114,1.0,4.0,5.0,1.0,4.0,5.0,household,0.0,0.0
258,1015327,4013010101,259,500,1.0,3.0,2.0,1.0,3.0,2.0,household,0.0,0.0
259,1015354,4013010101,260,500,1.0,3.0,1.0,1.0,3.0,1.0,household,0.0,0.0
260,1015388,4013010101,261,104,1.0,3.0,2.0,1.0,3.0,2.0,household,0.0,0.0
261,1015407,4013010101,262,600,1.0,3.0,2.0,1.0,3.0,2.0,household,0.0,0.0
262,1015494,4013010101,263,127,1.0,2.0,2.0,1.0,2.0,2.0,household,0.0,0.0
263,1015524,4013010101,264,600,1.0,3.0,2.0,1.0,3.0,2.0,household,0.0,0.0
264,1015564,4013010101,265,203,1.0,5.0,3.0,1.0,5.0,3.0,household,0.0,0.0
265,1015663,4013010101,266,118,1.0,4.0,1.0,1.0,4.0,1.0,household,0.0,0.0
266,1015718,4013010101,267,500,1.0,3.0,2.0,1.0,3.0,2.0,household,0.0,0.0
267,1015772,4013010101,268,132,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
268,1015994,4013010101,269,805,1.0,2.0,1.0,1.0,2.0,1.0,household,0.0,0.0
269,1016013,4013010101,270,132,1.0,3.0,4.0,1.0,3.0,4.0,household,0.0,0.0
270,1016033,4013010101,271,102,1.0,2.0,1.0,1.0,2.0,1.0,household,0.0,0.0
271,1016036,4013010101,272,127,1.0,4.0,4.0,1.0,4.0,4.0,household,0.0,0.0
272,1016068,4013010101,273,110,1.0,3.0,2.0,1.0,3.0,2.0,household,0.0,0.0
273,1016073,4013010101,274,120,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
274,1016075,4013010101,275,803,1.0,3.0,2.0,1.0,3.0,2.0,household,0.0,0.0
275,1016118,4013010101,276,122,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
276,1016178,4013010101,277,106,1.0,5.0,4.0,1.0,5.0,4.0,household,0.0,0.0
277,1016192,4013010101,278,202,1.0,3.0,2.0,1.0,3.0,2.0,household,0.0,0.0
278,1016210,4013010101,279,111,1.0,3.0,3.0,1.0,3.0,3.0,household,0.0,0.0
279,1016391,4013010101,280,204,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
280,1016515,4013010101,281,209,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
281,1016552,4013010101,282,106,1.0,3.0,2.0,1.0,3.0,2.0,household,0.0,0.0
